HHID,HHID_old,resp_iid,spouse_iid,muslim,age_2018,sex,New_edu,wealth_total,CropFailRecent,RiverErodeRecent,KinDispRecent,BusLossRecent,NeighDispRecent,UnemployRecent,NatDisRecent,SmDebtRecent,LgDebtRecent,SickSelfRecent,SickFamRecent,netsize,mutual,mutual_prop,long,long_prop,local,local_prop,support_in,support_in_prop,support_out,support_out_prop,
HH037,HHQ037,HUS413,IND0263,1,71,1,8,214975,0,0,0,0,0,1,0,0,0,0,0,13,4,0.307692308,4,0.307692308,8,0.615384615,5,0.384615385,9,0.692307692,
HH698,HHQ700,HUS414,IND5303,1,64,1,3,244520,0,0,0,1,0,0,0,0,1,1,1,13,6,0.461538462,0,0,10,0.769230769,7,0.538461538,9,0.692307692,
HH088,HHQ088,HUS415,IND0673,1,32,1,9,221300,1,0,0,0,1,1,0,1,1,1,1,18,5,0.277777778,4,0.222222222,12,0.666666667,12,0.666666667,7,0.388888889,
HH326,HHQ326,HUS416,IND2448,1,63,1,0,367915,1,0,1,1,1,0,0,0,0,1,1,7,0,0,0,0,7,1,3,0.428571429,1,0.142857143,
HH704,HHQ706,HUS417,IND5344,1,51,1,10,344215,1,0,0,0,0,1,0,0,0,0,0,16,0,0,0,0,14,0.875,3,0.1875,10,0.625,
HH519,HHQ519,HUS418,IND3920,0,60,1,9,326625,0,0,0,0,0,0,0,1,1,1,1,24,0,0,7,0.291666667,9,0.375,7,0.291666667,9,0.375,
HH435,HHQ435,HUS419,IND3302,1,48,1,6,228675,1,0,0,0,0,0,0,0,1,0,0,9,0,0,1,0.111111111,8,0.888888889,3,0.333333333,0,0,
HH164,HHQ164,HUS420,IND1297,1,31,1,12,409485,0,0,0,1,0,0,1,1,1,0,0,22,7,0.318181818,6,0.272727273,11,0.5,7,0.318181818,13,0.590909091,
HH238,HHQ238,HUS421,IND1822,1,62,1,5,350820,1,0,0,1,0,1,0,0,1,1,1,14,6,0.428571429,0,0,10,0.714285714,9,0.642857143,8,0.571428571,
#N/A,#N/A,HUS422,#N/A,#N/A,37,1,,,,,,,,,,,,,,12,4,0.333333333,4,0.333333333,5,0.416666667,6,0.5,7,0.583333333,
HH044,HHQ044,HUS423,IND0335,1,42,1,7,180625,1,0,1,0,1,0,0,1,1,0,1,15,1,0.066666667,4,0.266666667,10,0.666666667,11,0.733333333,1,0.066666667,
HH348,HHQ348,HUS424,IND2619,1,72,1,0,145800,0,0,0,0,0,0,0,0,0,0,0,9,3,0.333333333,0,0,9,1,5,0.555555556,5,0.555555556,
